title,number,cover,price,summary
O Mundo Movimentado,82,img/Volume_82.jpg,93.81,"Após descobrirem o destino de Sanji, Luffy e o restante do bando ficará sabendo sobre o laço entre os líderes de Zou e os guerreiros de Wano."
"A Yonkou, Pirata Charlotte Linlin",83,img/Volume_83.jpg,42.47,"Após se encontrar com um barco do Germa 66, o exército da Família Vinsmoke, no caminho para resgatar Sanji, o Bando do Chapéu de Palha acaba explorando uma ilha com uma floresta misteriosa, que pode ter relação com a Big Mom. Enquanto isso, Sanji fica sabendo dos planos de dominação de sua família."
Luffy Vs Sanji,84,img/Volume_84.jpg,51.95,
Mentiroso,85,img/Volume_85.jpg,78.82,"Após a luta contra Sanji, Luffy e Nami foram capturados. Chopper e Carrot estão tentando escapar das garras de Brûlée e seu grupo. Em um plano arriscado, Pedro acaba se tornando a isca para que Brook consiga resgatar seus companheiros."
A Estratégia de Assassinato da Yonkou,86,img/Volume_86.jpg,40.42,
Eu Não Sou Doce,87,img/Volume_87.jpg,84.43,
Leão,88,img/Volume_88.jpg,67,"Para aplacar a fúria da Big Mom, Pudding se une a Sanji, Chiffon e aos cozinheiros-chefe de Whole Cake para preparar um novo bolo de casamento. Luffy continua a lutar contra Katakuri enquanto o restante do Bando do Chapéu de Palha tenta fugir da Big Mom no Thousand Sunny."
Musical do Final Ruim,89,img/Volume_89.jpg,87.31,
A Terra Sagrada de Mary Geoise,90,img/Volume_90.jpg,32.65,"O surto alimentício de BIG MOM é interrompido pelo magnífico e inigualável bolo de casamento! Enquanto isso, Luffy está lutando contra Katakuri no Mundo dos Espelhos!"
A Grande Aventura na Terra dos Samurais,91,img/Volume_91.jpg,33.78,"Luffy desembarca no País de Wano, conhecendo uma menina e assim nossa história aqui nesta nação tem início!! Mas como encontrar todos os seus companheiros que estão espalhados pela terra dos samurais?! E qual será a verdade chocante escondida nesse país?! A Saga do País de Wano começa com tudo cheia de confusões sem fim!!"
A Cortesã Komurasaki Aparece,92,img/Volume_92.jpg,33.23,
A Celebridade da Cidade Ebisu,93,img/Volume_93.jpg,79.9,
Os Sonhos dos Soldados,94,img/Volume_94.jpg,54.34,"Graças a execução de Yasuie, os planos da invasão podem ser retomados, mas é durante esse momento crítico e solene que o Bando descobre a verdade cruel sobre as Akuma-no-Mi artificiais, fazendo que a fúria de todos transborde!! Enquanto isso, na Mina de Prisioneiros, Luffy e seu grupo enfrentarão uma nova ameaça...!!"
Aventura de Oden,95,img/Volume_95.jpg,68.53,"A Pior das Alianças é formada!! Enquanto uma verdadeira monstra se alia a Kaido, Luffy e seu Bando seguem ajudando nos preparativos para a revolta e tudo está pronto para a invasão à Onigashima! Mas enquanto tudo isso ocorre no isolado País de Wano, a situação do mundo começa a mudar drasticamente...!"
"Oden, Quanto Mais Fervido Melhor Ele Fica",96,img/Volume_96.jpg,78.43,"Durante suas aventuras com Barba Branca, Oden encontra-se com Roger como se fosse guiado pelas mãos do próprio destino!! O que esse encontro fatídico causará ao mundo?! Enquanto isso, aproveitando-se da ausência de Oden, Orochi conspira nas sombras do País de Wano...!"
Minha Bíblia,97,img/Volume_97.jpg,52.01,
Vassalos da Glória,98,img/Volume_98.jpg,32.02,
Mugiwara no Luffy,99,img/Volume_99.jpg,84.42,
Haoshoku,100,img/Volume_100.jpg,80.4,
As Estrelas Entram em Cena,101,img/Volume_101.jpg,81.92,
Momento Crucial,102,img/Volume_102.jpg,58.23,
Guerreiro da Libertação,103,img/Volume_103.jpg,58.76,
O Shogun do País de Wano Kouzuki Momonosuke,104,img/Volume_104.jpg,32.17,
O Sonho do Luffy,105,img/Volume_105.jpg,81.78,
Em andamento,106,img/nao.jpg,79.24,
